Recalculation of a pyroxene anlaysis (all Fe as FeO) and solving for Fe+3,,,,,,,,,,,,
"This will also work for other minerals like garnet with fixed total cations, if the number of oxygens per formula is adjusted.",,,,,,,,,,,,
,,,,,,,,,,,,
Replace the red analysis with your data,,,,,,,,,,,,
"The sample analysis is an omphacite from a California eclogite (DHZ, 1963, v.2, p.156, #2)",,,,,,,,,,,,
,,,,,,,,,,,,
Oxygens per formula =,,6.0,,Cations per formula =,,4.0,,,,,,
,,,,,,,,,,,,
,,,Mole,Cation,Normaliz.,Oxygen,Atom,,,,,
Oxide,GFW,Wt.%,Units,Units,Cat Units,Units,Units,,,,,
,,,,,,,,,,,,
SiO2,60.084,53.310,0.887,0.887,1.919,3.838,1.919,Si,,,,
TiO2,79.866,0.260,0.003,0.003,0.007,0.014,0.007,Ti,,,,
Al2O3,101.961,10.520,0.103,0.206,0.446,0.669,0.446,Al,,,,
Fe2O3,159.688,0.000,,,,,0.121,Fe+3,,,,
Cr2O3,151.99,0.000,0.000,0.000,0.000,0.000,0.000,Cr+3,,,,
FeO,71.844,6.538,0.091,0.091,0.197,0.197,0.076,Fe+2,,,,
MnO,70.937,0.050,0.001,0.001,0.002,0.002,0.002,Mn,,,,
MgO,40.304,8.420,0.209,0.209,0.452,0.452,0.452,Mg,,,,
CaO,56.077,14.500,0.259,0.259,0.559,0.559,0.559,Ca,,,,
Na2O,61.979,5.900,0.095,0.190,0.412,0.206,0.412,Na,,,,
K2O,94.196,0.150,0.002,0.003,0.007,0.003,0.007,K,,,,
H2O,18.015,,0.000,0.000,0.000,0.000,0.000,H,,,,
,,,,,,,,,,,,
Totals,,99.648,1.650,1.850,4.000,5.940,4.000,,,,,
,,,,,,,,,,,,
,,,,,,Sum Si =,1.919,,,,,
,,,,,,Sum Al =,2.372,,"The ""Sum"" values are summations of the column of ""Atom Units""",,,
,,,,,,Sum Mg =,3.022,,"down to the element listed.  For example, ""Sum Mg"" would be the",,,
,,,,,,Sum Ca =,3.581,,"sum of the ""Atom Units"" for Si, Ti, Al, Fe+3, Fe+2, Mn, and Mg.",,,
,,,,,,Sum Na =,3.993,,"The choice of ""Sums"" is based on cation sizes and site occupancies.",,,
,,,,,,Sum K =,4.000,,,,,
,,,,,,,,,,,,
End Member Calculations,,,,,,,,,Cation Site Occupancy,,,Ideal
 ,,,If Na>Fe+3 p.f.u.,,,,,C.N.,Site,Elements,Atoms p.f.u.,Cations/Site
Ortho and Calcic CPX,,,Sodic and-Calcic CPX,,,,,4,Tet,Si+Ti,1.926,2
Wo,51.44,,Aegerine,12.434,,,,4,Tet,Al,0.074,
En ,41.56,,Jadeite,29.972,,,,6,Oct ,Al,0.372,1
Fs,7.00,,Diopside,57.594,,,,6,Oct ,Fe+3 +Cr +Fe+2 +Mn,0.198,
,100.00,,,100.000,,,,6,Oct ,Mg,0.430,
,,,,,,,,8,Cubic,Mg,0.022,1
,,,,,,,,8,Cubic,Ca,0.559,
,,,,,,,,8,Cubic ,Na,0.412,
,,,,,,,,,,,3.993,