Team Number,From,Team Number and Name,1,2,3,4,5,6,7,8,Total,Position
1,Dublin,1 - Dublin,7,4,5,4,6,4,5,6,41,40
2,Cork,2 - Cork,9,7,6,8,8,7,7,8,60,12
3,Galway,3 - Galway,7,9,8,9,10,9,10,10,72,2
4,Waterford,4 - Waterford,7,7,7,7,7,6,6,7,54,29
5,Belfast,5 - Belfast,8,3,6,6,6,4,7,5,45,36
6,London,6 - London,7,7,6,7,7,10,8,8,60,12
7,Glasgow,7 - Glasgow,7,8,8,6,7,5,10,9,60,12
8,Manchester,8 - Manchester,9,7,9,9,6,7,8,7,62,9
9,Liverpool,9 - Liverpool,4,4,6,5,7,4,5,7,42,39
10,Birmingham,10 - Birmingham,6,4,6,5,6,3,5,6,41,40
11,Paris,11 - Paris,8,9,8,9,7,8,7,10,66,4
12,Rome,12 - Rome,8,9,8,4,7,6,8,8,58,19
13,New York,13 - New York,6,5,6,7,6,6,6,6,48,35
14,Tokyo,14 - Tokyo,7,5,8,9,8,6,8,9,60,12
15,Amsterdam,15 - Amsterdam,5,6,8,9,8,6,7,6,55,25
16,Berlin,16 - Berlin,5,5,7,7,6,9,5,6,50,33
17,Rio,17 - Rio,7,6,7,9,4,4,7,10,54,29
18,Oslo,18 - Oslo,9,8,6,5,8,7,6,7,56,22
19,Brussels,19 - Brussels,7,7,7,6,7,6,7,9,56,22
20,Beijing,20 - Beijing,8,9,7,8,8,5,8,9,62,9
21,Ottowa,21 - Ottowa,5,7,6,7,6,8,9,7,55,25
22,Washinton DC,22 - Washinton DC,4,5,6,4,5,4,5,3,36,45
23,Auckland,23 - Auckland,3,5,4,6,7,4,5,6,40,42
24,Kuala Lumpur,24 - Kuala Lumpur,8,8,8,8,10,8,6,9,65,5
25,Bangkok,25 - Bangkok,6,7,8,8,9,6,7,9,60,12
26,Split,26 - Split,7,8,9,9,8,7,9,8,65,5
27,Madrid,27 - Madrid,5,8,6,8,7,6,6,7,53,31
28,Budapest,28 - Budapest,6,7,9,7,7,5,9,6,56,22
29,Mexico City,29 - Mexico City,7,8,6,7,9,7,10,10,64,7
30,Cavan,30 - Cavan,7,9,6,8,7,8,9,5,59,18
31,Louth,31 - Louth,6,9,6,7,9,8,6,10,61,11
32,Wexford,32 - Wexford,7,7,8,4,6,7,6,10,55,25
33,Longford,33 - Longford,7,7,6,8,7,5,8,9,57,21
34,Sligo,34 - Sligo,9,10,8,8,9,10,9,10,73,1
35,Donegal,35 - Donegal,6,6,4,6,5,5,9,8,49,34
36,Kerry,36 - Kerry,5,9,8,6,8,6,8,10,60,12
37,Limerick,37 - Limerick,6,6,8,10,10,7,9,7,63,8
38,Mayo,38 - Mayo,2,2,2,4,3,1,0,3,17,48
39,Clare,39 - Clare,2,1,4,4,3,3,4,3,24,47
40,Meath,40 - Meath,5,5,7,3,4,6,6,4,40,42
41,Westmeath,41 - Westmeath,9,8,9,8,9,8,10,9,70,3
42,Monaghan,42 - Monaghan,6,7,5,4,7,5,4,5,43,38
43,Kildare,43 - Kildare,5,4,4,3,6,2,3,7,34,46
44,Kilkenny,44 - Kilkenny,5,6,8,7,7,7,8,7,55,25
45,Tipperary,45 - Tipperary,6,8,8,8,8,6,8,6,58,19
46,Leitrim,46 - Leitrim,5,7,5,5,7,7,8,8,52,32
47,Laois,47 - Laois,5,2,6,6,6,4,4,6,39,44
48,Fermanagh,48 - Fermanagh,5,2,5,5,6,5,8,8,44,37